Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2024-25,2024-08-24,Aston Villa,Arsenal,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-24,Brighton,Man United,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35260059921864545,0.22420105913247057,0.4231983416488839
2024-25,2024-08-24,Crystal Palace,West Ham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.47196935150830666,0.267193480315122,0.2608371681765714
2024-25,2024-08-24,Fulham,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.43506274966120273,0.24629974354467699,0.31863750679412034
2024-25,2024-08-24,Man City,Ipswich,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.724907063197026,0.14737121614445034,0.1277217206585236
2024-25,2024-08-24,Southampton,Nott'm Forest,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-08-24,Tottenham,Everton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-08-25,Bournemouth,Newcastle,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-25,Liverpool,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6899173870993938,0.18261216233176572,0.12747045056884038
2024-25,2024-08-25,Wolves,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-31,Arsenal,Brighton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6760051160498961,0.183447956225201,0.1405469277249029
2024-25,2024-08-31,Brentford,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5375093233972955,0.21899531405215744,0.243495362550547
2024-25,2024-08-31,Everton,Bournemouth,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-08-31,Ipswich,Fulham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-08-31,Leicester,Aston Villa,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-31,Nott'm Forest,Wolves,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.40729873301583014,0.24477150183166418,0.34792976515250573
2024-25,2024-08-31,West Ham,Man City,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.062434934575714196,0.226431160606901,0.7111339048173848
2024-25,2024-09-01,Chelsea,Crystal Palace,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-09-01,Man United,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-09-01,Newcastle,Tottenham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-09-14,Aston Villa,Everton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.657486680626607,0.19778938160998752,0.14472393776340547
2024-25,2024-09-14,Bournemouth,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-09-14,Brighton,Ipswich,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-09-14,Crystal Palace,Leicester,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-09-14,Fulham,West Ham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-09-14,Liverpool,Nott'm Forest,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.724907063197026,0.14737121614445034,0.1277217206585236
2024-25,2024-09-14,Man City,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.7091838259466244,0.16586473805325602,0.12495143600011953
2024-25,2024-09-14,Southampton,Man United,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.15607037101550253,0.21964814492248738,0.6242814840620101
2024-25,2024-09-15,Tottenham,Arsenal,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20091632193970357,0.23491064605360878,0.5641730320066877
2024-25,2024-09-15,Wolves,Newcastle,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-09-21,Aston Villa,Wolves,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6899173870993938,0.18261216233176572,0.12747045056884038
2024-25,2024-09-21,Crystal Palace,Man United,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-09-21,Fulham,Newcastle,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-09-21,Leicester,Everton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.40729873301583014,0.24477150183166418,0.34792976515250573
2024-25,2024-09-21,Liverpool,Bournemouth,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.7091838259466244,0.16586473805325602,0.12495143600011953
2024-25,2024-09-21,Southampton,Ipswich,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-09-21,Tottenham,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-09-21,West Ham,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-09-22,Brighton,Nott'm Forest,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-09-22,Man City,Arsenal,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-09-28,Arsenal,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.724907063197026,0.14737121614445034,0.1277217206585236
2024-25,2024-09-28,Brentford,West Ham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-09-28,Chelsea,Brighton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-09-28,Everton,Crystal Palace,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.38831626148014753,0.23336373723622345,0.3783200012836289
2024-25,2024-09-28,Newcastle,Man City,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.1963404154280737,0.2295605125027344,0.5740990720691919
2024-25,2024-09-28,Nott'm Forest,Fulham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-09-28,Wolves,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.06129597197898423,0.2053415061295972,0.7333625218914186
2024-25,2024-09-29,Ipswich,Aston Villa,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-09-29,Man United,Tottenham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.43506274966120273,0.24629974354467699,0.31863750679412034
2024-25,2024-09-30,Bournemouth,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-10-05,Arsenal,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.724907063197026,0.14737121614445034,0.1277217206585236
2024-25,2024-10-05,Brentford,Wolves,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-10-05,Crystal Palace,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.062434934575714196,0.226431160606901,0.7111339048173848
2024-25,2024-10-05,Everton,Newcastle,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-10-05,Leicester,Bournemouth,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-10-05,Man City,Fulham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.7091838259466244,0.16586473805325602,0.12495143600011953
2024-25,2024-10-05,West Ham,Ipswich,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-10-06,Aston Villa,Man United,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-10-06,Brighton,Tottenham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-10-06,Chelsea,Nott'm Forest,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6869158125347785,0.1818176845697993,0.13126650289542227
2024-25,2024-10-19,Bournemouth,Arsenal,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.06027378830177256,0.21859338737344858,0.7211328243247789
2024-25,2024-10-19,Fulham,Aston Villa,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-10-19,Ipswich,Everton,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.38831626148014753,0.23336373723622345,0.3783200012836289
2024-25,2024-10-19,Man United,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-10-19,Newcastle,Brighton,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-10-19,Southampton,Leicester,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-10-19,Tottenham,West Ham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-10-20,Liverpool,Chelsea,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.572693158856923,0.23333012604637735,0.19397671509669967
2024-25,2024-10-20,Wolves,Man City,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.06059885931558935,0.20300617870722434,0.7363949619771863
2024-25,2024-10-21,Nott'm Forest,Crystal Palace,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-10-25,Leicester,Nott'm Forest,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-10-26,Aston Villa,Bournemouth,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.657486680626607,0.19778938160998752,0.14472393776340547
2024-25,2024-10-26,Brentford,Ipswich,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-10-26,Brighton,Wolves,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5438099524684824,0.25623520775970526,0.19995483977181247
2024-25,2024-10-26,Everton,Fulham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-10-26,Man City,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.7571758495546024,0.1138238205212801,0.12900032992411745
2024-25,2024-10-27,Arsenal,Liverpool,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.41307131677548886,0.2727617662403364,0.31416691698417465
2024-25,2024-10-27,Chelsea,Newcastle,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-10-27,Crystal Palace,Tottenham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-10-27,West Ham,Man United,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-11-02,Bournemouth,Man City,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.062434934575714196,0.226431160606901,0.7111339048173848
2024-25,2024-11-02,Ipswich,Leicester,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.39093359783063886,0.23236519607207087,0.3767012060972904
2024-25,2024-11-02,Liverpool,Brighton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.690585499642261,0.16937242342679978,0.14004207693093934
2024-25,2024-11-02,Newcastle,Arsenal,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-11-02,Nott'm Forest,West Ham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-11-02,Southampton,Everton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-11-02,Wolves,Crystal Palace,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-11-03,Man United,Chelsea,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.39537610990115596,0.26687887418328027,0.3377450159155637
2024-25,2024-11-03,Tottenham,Aston Villa,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.42581058575799974,0.2503334757781694,0.3238559384638308
2024-25,2024-11-04,Fulham,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-11-09,Brentford,Bournemouth,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35963138749727996,0.2644569798301716,0.3759116326725484
2024-25,2024-11-09,Brighton,Man City,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.14646936893933943,0.20613602034878017,0.6473946107118803
2024-25,2024-11-09,Crystal Palace,Fulham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.39354947482919206,0.23136721166593016,0.37508331350487784
2024-25,2024-11-09,Liverpool,Aston Villa,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6715016730849209,0.1859978341671894,0.14250049274788973
2024-25,2024-11-09,West Ham,Everton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-11-09,Wolves,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5375093233972955,0.21899531405215744,0.243495362550547
2024-25,2024-11-10,Chelsea,Arsenal,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35260059921864545,0.22420105913247057,0.4231983416488839
2024-25,2024-11-10,Man United,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-11-10,Nott'm Forest,Newcastle,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35260059921864545,0.22420105913247057,0.4231983416488839
2024-25,2024-11-10,Tottenham,Ipswich,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6469190739903097,0.21068309718537717,0.14239782882431323
2024-25,2024-11-23,Arsenal,Nott'm Forest,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6899173870993938,0.18261216233176572,0.12747045056884038
2024-25,2024-11-23,Aston Villa,Crystal Palace,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6264034219228257,0.2040017342574078,0.16959484381976664
2024-25,2024-11-23,Bournemouth,Brighton,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-11-23,Everton,Brentford,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-11-23,Fulham,Wolves,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-11-23,Leicester,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-11-23,Man City,Tottenham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6814428671662616,0.1803690670878275,0.1381880657459109
2024-25,2024-11-24,Ipswich,Man United,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-11-24,Southampton,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.06204797062868925,0.18394752354522917,0.7540045058260816
2024-25,2024-11-25,Newcastle,West Ham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-11-29,Brighton,Southampton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.657486680626607,0.19778938160998752,0.14472393776340547
2024-25,2024-11-30,Brentford,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-11-30,Crystal Palace,Newcastle,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-11-30,Nott'm Forest,Ipswich,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-11-30,West Ham,Arsenal,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.1820739675493169,0.21288023259449151,0.6050457998561916
2024-25,2024-11-30,Wolves,Bournemouth,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-12-01,Chelsea,Aston Villa,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-12-01,Liverpool,Man City,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5023999579716895,0.23372691094948622,0.2638731310788243
2024-25,2024-12-01,Man United,Everton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-12-01,Tottenham,Fulham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-12-03,Ipswich,Crystal Palace,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.42179126742785017,0.2387864304120818,0.3394223021600681
2024-25,2024-12-03,Leicester,West Ham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-12-04,Arsenal,Man United,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6363062684055533,0.19141775347076143,0.17227597812368528
2024-25,2024-12-04,Aston Villa,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-12-04,Everton,Wolves,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-12-04,Man City,Nott'm Forest,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.657486680626607,0.19778938160998752,0.14472393776340547
2024-25,2024-12-04,Newcastle,Liverpool,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.14646936893933943,0.20613602034878017,0.6473946107118803
2024-25,2024-12-04,Southampton,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.07907241969207374,0.23968827219159855,0.6812393081163277
2024-25,2024-12-05,Bournemouth,Tottenham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-12-05,Fulham,Brighton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.38831626148014753,0.23336373723622345,0.3783200012836289
2024-25,2024-12-07,Aston Villa,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6469190739903097,0.21068309718537717,0.14239782882431323
2024-25,2024-12-07,Brentford,Newcastle,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-12-07,Crystal Palace,Man City,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.1820739675493169,0.21288023259449151,0.6050457998561916
2024-25,2024-12-07,Man United,Nott'm Forest,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-12-08,Fulham,Arsenal,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.18956962153494641,0.22164412446429674,0.5887862540007568
2024-25,2024-12-08,Ipswich,Bournemouth,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-12-08,Leicester,Brighton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-12-08,Tottenham,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.38831626148014753,0.23336373723622345,0.3783200012836289
2024-25,2024-12-09,West Ham,Wolves,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-12-14,Arsenal,Everton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.690585499642261,0.16937242342679978,0.14004207693093934
2024-25,2024-12-14,Liverpool,Fulham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.7091838259466244,0.16586473805325602,0.12495143600011953
2024-25,2024-12-14,Newcastle,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-12-14,Nott'm Forest,Aston Villa,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3221437413529454,0.20483506881234978,0.47302118983470476
2024-25,2024-12-14,Wolves,Ipswich,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.43506274966120273,0.24629974354467699,0.31863750679412034
2024-25,2024-12-15,Brighton,Crystal Palace,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5196986627257327,0.24487432458987035,0.23542701268439703
2024-25,2024-12-15,Chelsea,Brentford,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6363062684055533,0.19141775347076143,0.17227597812368528
2024-25,2024-12-15,Man City,Man United,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6363062684055533,0.19141775347076143,0.17227597812368528
2024-25,2024-12-15,Southampton,Tottenham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-12-16,Bournemouth,West Ham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-12-21,Aston Villa,Man City,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3221437413529454,0.20483506881234978,0.47302118983470476
2024-25,2024-12-21,Brentford,Nott'm Forest,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-12-21,Crystal Palace,Arsenal,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.19029819046809957,0.2224959646589075,0.587205844872993
2024-25,2024-12-21,Ipswich,Newcastle,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-12-21,West Ham,Brighton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-12-22,Everton,Chelsea,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.09115151124850082,0.23654446735100937,0.6723040214004897
2024-25,2024-12-22,Fulham,Southampton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6264034219228257,0.2040017342574078,0.16959484381976664
2024-25,2024-12-22,Leicester,Wolves,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-12-22,Man United,Bournemouth,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-12-22,Tottenham,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
